id	CustomerName	CustomerAddress	stateCode	idProduct	RegisterTime	Shop1	Shop2	Shop3	Shop4	Shop5	Shop6	Shop7
1	Warren Ulysses Adams	Bowles Avenue	NY	41	2001-01-17 06:26:40.000	67852.0	61521.484	4949.0	224.0	43327.332	1406437.0	1.70080624E8
2	John Bill Taylor	Burnett Road	ND	5	2002-06-07 09:40:00.000	88792.0	15434.1	6068.0	240.0	71267.086	2125179.0	7.5118432E8
3	Martin Herbert Reagan	Newbury Road	MT	28	1990-04-01 09:00:00.000	35340.0	17856.88	4029.0	120.0	15400.77	4618303.0	6.5740264E7
4	Grover George Kennedy	Santa Rosa South	CT	15	1972-04-23 06:00:00.000	6097.0	55560.24	10862.0	20.0	6208.7007	3227040.0	5.4610374E8
5	Theodore Ulysses Hoover	Carpinteria North	IA	9	1982-04-19 10:26:40.000	5146.0	39098.113	5634.0	164.0	31185.877	4941905.0	3.7364032E8
6	Richard Franklin Quincy	Lindbergh Blvd	CA	15	2006-05-27 05:00:00.000	16087.0	29924.93	28218.0	155.0	20177.287	4421147.0	7.5372019E8
7	Grover Thomas Coolidge	Cleveland Ave.	NC	9	1970-03-27 11:08:16.000	53216.0	65352.566	4154.0	16.0	71550.414	2573100.0	3.15786176E8
8	Martin Benjamin Harding	Santa Monica Road	CA	15	2005-08-02 01:26:40.000	74168.0	77920.6	11869.0	176.0	66854.586	97164.0	6.7655584E7
9	Harry Benjamin Jackson	Santa Monica Road	CT	33	1994-05-03 11:13:20.000	92176.0	56844.125	6883.0	184.0	43870.445	6063255.0	6.6653952E8
10	Millard Gerald Coolidge	Lindbergh Blvd	IA	7	1975-06-10 08:20:00.000	48498.0	45844.914	28995.0	232.0	80928.55	3109360.0	5.21224832E8
11	Gerald Rutherford Clinton	East 1st Street	HI	35	1983-02-26 05:08:16.000	23992.0	93520.12	5652.0	20.0	40124.69	446948.0	1.70898752E8
12	Benjamin Harry Hayes	Lindbergh Blvd	NE	39	2001-09-10 11:01:36.000	27786.0	46530.098	13433.0	243.0	3935.409	9789232.0	4.32003744E8
13	Richard Dwight Polk	Carpinteria Avenue	ND	41	2005-10-02 12:34:56.000	5448.0	29062.816	19920.0	160.0	87480.39	6895440.0	8.5570952E7
14	Rutherford Zachary Taft	East 1st Street	DE	5	1997-02-18 09:06:40.000	23220.0	43086.645	17274.0	16.0	99682.305	8471542.0	2.0594936E8
15	Franklin Franklin Johnson	Woodson Rd.	ND	28	2001-01-07 08:40:00.000	46096.0	31014.83	6654.0	190.0	18805.924	9963925.0	3.99714624E8
16	Martin Woodrow Cleveland	Bayshore Freeway	VT	15	2003-12-03 07:08:16.000	90440.0	31684.793	15939.0	27.0	77115.516	4419865.0	4.65858304E8
17	Harry Richard Johnson	Pacific Hwy S	AK	9	1983-01-31 10:26:40.000	67680.0	62038.77	9582.0	72.0	1608.3372	8109696.0	2.36460384E8
18	Benjamin Franklin Hayes	Newbury Road	CO	12	2004-05-31 03:00:00.000	45292.0	17008.766	1908.0	177.0	256.4366	6964336.0	7.1762861E8
19	Harry Gerald Quincy	Jones Road	MT	33	2006-01-24 10:53:20.000	13458.0	52120.617	22731.0	178.0	94300.38	4245900.0	1.54573568E8
20	James Jimmy Cleveland	French Camp Turnpike Road	KS	58	2000-03-31 10:53:20.000	70685.0	28463.95	31856.0	157.0	85865.04	4366440.0	4.2346248E7
21	Bill Lyndon Ford	Bayshore Freeway	NY	25	2006-06-09 01:28:16.000	62605.0	8387.321	7920.0	75.0	15343.241	4092882.0	4432200.0
22	Martin John Hoover	Timberlane Drive	SC	46	1997-01-12 12:01:36.000	73220.0	51850.7	27106.0	8.0	59692.37	4230103.0	5.6306112E8
23	Harry Warren Tyler	Cabrillo Highway	MO	8	2003-09-16 03:14:56.000	86100.0	54079.89	1857.0	226.0	87540.945	7898448.0	4.06228288E8
24	Thomas Dwight Jackson	Hutchinson Rd	OH	21	2004-10-31 05:20:00.000	74224.0	85912.73	4905.0	108.0	90744.914	9107724.0	2.93853888E8
25	Ronald Millard Lincoln	San Luis Obispo North	NE	46	1978-10-27 02:33:20.000	50903.0	82453.02	21908.0	83.0	95556.22	6195728.0	1.8498456E8
26	William Theodore Tyler	Katella Avenue	WI	1	1983-01-08 07:46:40.000	1426.0	23810.766	9126.0	53.0	25978.984	760698.0	1.63182112E8
27	Andrew Rutherford Truman	Carpinteria North	IL	34	1987-09-05 09:01:36.000	26080.0	8442.088	6068.0	5.0	25800.217	2917185.0	6.7268397E8
28	George Franklin Quincy	Carpinteria Avenue	AK	44	1998-06-15 09:40:00.000	96110.0	43358.81	4218.0	64.0	26202.889	5998630.0	1.56492944E8
29	Benjamin Rutherford Reagan	San Luis Obispo North	KY	22	2002-06-08 02:33:20.000	52443.0	90392.03	15611.0	110.0	99319.34	2365956.0	4.95154624E8
30	Warren Millard Van Buren	Westside Freeway	DE	27	1983-01-19 12:28:16.000	78564.0	35453.5	11480.0	225.0	70306.53	5255841.0	3.7227904E8
31	Dwight Calvin Coolidge	Newbury Road	OH	24	1974-07-24 08:48:16.000	82248.0	70587.66	23914.0	189.0	83220.67	3681065.0	1492008.0
32	Chester John Polk	Lake Tahoe Blvd.	WY	10	1970-01-26 06:41:36.000	50345.0	17088.406	22217.0	56.0	87364.36	494976.0	3.85828672E8
33	John Gerald Fillmore	Tanger Blvd	UT	33	2006-08-12 09:01:36.000	2768.0	97359.01	29187.0	16.0	22832.607	6367456.0	7.0394675E8
34	Dwight Woodrow Reagan	N Harrison St	OK	49	2005-12-21 12:14:56.000	46631.0	26404.936	27860.0	186.0	51170.406	9680832.0	3.9602032E7
35	Ulysses Chester Madison	Bowles Avenue	VA	45	2006-01-08 06:40:00.000	38474.0	90848.66	16248.0	170.0	15279.511	5300010.0	2.02147E7
36	Lyndon Grover Carter	San Simeon	VT	28	1993-10-22 03:26:40.000	29440.0	53380.613	6774.0	19.0	78994.59	4909784.0	7.3395368E7
37	Chester Harry Johnson	Santa Rosa North	ID	12	1974-04-13 03:46:40.000	94198.0	32720.756	28635.0	216.0	53324.9	7631901.0	7.1282253E8
38	James Dwight Reagan	Castillo Drive	LA	6	1999-12-19 10:40:00.000	81314.0	91092.4	12609.0	162.0	63035.91	7761165.0	3.81147872E8
